Date,CPI,Nifty 50 (NSEI),Refined Gold Futures
02-01-2025,193.4,24188.65,3187.2
03-01-2025,193.4,24004.75,3186.4
06-01-2025,193.4,23616.05,3157.6
07-01-2025,193.4,23707.9,3170.5
08-01-2025,193.4,23688.95,3184.5
09-01-2025,193.4,23526.5,3193.7
10-01-2025,193.4,23431.5,3211.4
13-01-2025,193.4,23085.95,3205.5
14-01-2025,193.4,23176.05,3190.4
15-01-2025,193.4,23213.2,3189.5
16-01-2025,193.4,23311.8,3224
17-01-2025,193.4,23203.2,3219.6
21-01-2025,193.4,23024.65,3249
22-01-2025,193.4,23155.35,3263.2
23-01-2025,193.4,23205.35,3247.7
24-01-2025,193.4,23092.2,3280.6
27-01-2025,193.4,22829.15,3243.9
28-01-2025,193.4,22957.25,3254.4
29-01-2025,193.4,23163.1,3258.2
30-01-2025,193.4,23249.5,3289
31-01-2025,193.4,23508.4,3320.1
03-02-2025,192.5,23361.05,3354.9
04-02-2025,192.5,23739.25,3360.5
05-02-2025,192.5,23696.3,3388.1
06-02-2025,192.5,23603.35,3348.3
07-02-2025,192.5,23559.95,3393.8
10-02-2025,192.5,23381.6,3424.4
11-02-2025,192.5,23071.8,3409.4
12-02-2025,192.5,23045.25,3401.3
13-02-2025,192.5,23031.4,3438.2
14-02-2025,192.5,22929.25,3440.1
18-02-2025,192.5,22945.3,3448.7
20-02-2025,192.5,22913.15,3453.7
21-02-2025,192.5,22795.9,3454.6
24-02-2025,192.5,22553.35,3453.5
25-02-2025,192.5,22547.55,3448.5
27-02-2025,192.5,22545.05,3372.8
28-02-2025,192.5,22124.7,3318.5
03-03-2025,192,22119.3,3580.9
04-03-2025,192,22082.65,3617.9
05-03-2025,192,22337.3,3615.4
10-03-2025,192,22460.3,3592.6
12-03-2025,192,22470.5,3610.3
18-03-2025,192,22834.3,3716.1
19-03-2025,192,22907.6,3901.2
21-03-2025,192,23350.4,3951.8
24-03-2025,192,23658.35,3882.8
25-03-2025,192,23668.65,3857.1
26-03-2025,192,23486.85,3854.8
27-03-2025,192,23591.95,3912.8
28-03-2025,192,23519.35,3905.5
02-04-2025,192.6,23332.35,3948.8
03-04-2025,192.6,23250.1,3936.3
04-04-2025,192.6,22904.45,3839.6
07-04-2025,192.6,22161.6,3780.1
08-04-2025,192.6,22535.85,3779.9
09-04-2025,192.6,22399.15,3861.3
11-04-2025,192.6,22828.55,4049.2
15-04-2025,192.6,23328.55,4018.6
16-04-2025,192.6,23437.2,4131
17-04-2025,192.6,23851.65,4092.2
21-04-2025,192.6,24125.55,4238.2
22-04-2025,192.6,24167.25,4250.2
24-04-2025,192.6,24246.7,4123.4
25-04-2025,192.6,24039.35,4060.2
28-04-2025,192.6,24328.5,4115.4
29-04-2025,192.6,24335.95,4094.8
05-05-2025,193,24461.15,4415.4
06-05-2025,193,24379.6,4516.9
07-05-2025,193,24414.4,4509.4
08-05-2025,193,24273.8,4459.2
12-05-2025,193,24924.7,4294
